mfs_name,status,mfs_transaction_status,created_by,debit_account_number,debit_account_title,credit_account_title,cbs_ft_trace_no,credit_account_number,debit_account_branch_oid,created_on
Quo Lux,active,success,cyurmanovev0,12-001-8100,tz1RC43uCzBdJMtPfVvimMoLBMa9rivbkYh8,tz1PxTAN8LBwBz2RWn2m3BopXtzXHJzsAM5y,9956339253,20-645-0569,Dien Bien Phu,2024-07-27
Matsoft,active,failure,mbarajaz1,88-942-6191,tz1c8Nr2vmAP3TAX2XkV3N3h2rVee3mQ9jCv,tz1PEv88yyn1p4VcmreL7Y7sV3fWUMvNW51q,4137278679,06-348-1105,Augusta,2024-05-31
Subin,active,success,mdudliston2,08-337-5213,tz1d4wVVu8kWVeUKK4F7jBbzQv4KpBSvurQu,tz1ht97K9ubq2VRioSGGdzAhv2u6o5vZ6Nsg,4973650374,94-689-5989,Lampedusa,2024-06-27
Y-Solowarm,active,failure,kbenedetti3,75-659-2211,tz1b2kjpmKankNFTHZjP5jHecFshZnxBwmbY,tz1Yr2bBvx1LnHLnEWTez9scJ9pci7Vakste,1292565314,06-733-5035,Husum,2024-06-30
Redhold,active,failure,skenn4,07-260-4799,tz1Mvv9vAFvKQD3FE7MZPMY5zqFqJsxZrf95,tz1T9db9i5iwRCJAzSyY3hLtBsHuvbSHa2Ge,7202228270,77-257-6017,Riverton,2024-06-02
Veribet,inactive,success,cbrain5,59-390-8549,tz1cVHWrBUHnqmWQz3Srx6Wheh4iDT1sRzz8,tz1hTCnZrG6NrpnsY98UfvupZQZ4xr5YoESp,1107993466,45-647-8858,Butler,2023-11-18
Overhold,inactive,success,gsesser6,35-328-4281,tz1QKY7ztwEcjjAN5SQkBhapyW4uWHjAA3cx,tz1feS8YJrgFQjXTTcenosUWBjAEFWALaH9X,7979135598,62-035-8641,Innsbruck,2023-12-19
Flexidy,active,success,apechell7,10-429-5153,tz1Ki9xrEZURkUnHqV89pMHNYRarPm38nqSL,tz1hDaw2ekAPwL2BgtrrPuMX5SoBXwaCvS47,5441594764,91-173-9092,Ogallala,2024-08-05
Y-find,active,failure,sbartram8,24-479-0957,tz1Wy25NyWs97MpADaNZwUrsrM1frTBG3yrA,tz1dpu2r7JT3o7banYpWM97JhNGBnkSJFZY9,3471098453,12-019-4748,Leipzig,2024-10-02
Bitwolf,active,failure,mjanczewski9,41-415-5791,tz1asorjnBU3eovSqMdr9B5JJbxhr4B5USb2,tz1i2NEHcfC6gih39ELUeHgaiEHswBWk7SyP,1596603585,95-108-1397,Jefferson,2024-02-25
It,active,success,bganiclefa,24-157-1533,tz1Mn5mbPiXoDJM76Bze563ZR83ZxS242f3Q,tz1SLhVCSFkoYNwS7fgL84vggMqKpw9ZSSzi,6265615939,51-289-0948,Fargo,2023-12-21
It,inactive,failure,mgouldstoneb,75-916-5335,tz1NfzV6ttcLLTGkNVyij6fFbJKcTD16ubCt,tz1NbMz5PYK1UeFuJqBHGNJniMTKuqp6PG3r,4574290455,75-482-8322,Lupin Mine,2024-09-03
Cardify,active,failure,sbulmerc,02-703-5396,tz1exCj5Avn2TsjcjAhYXUqw6n2RTXDoB1tF,tz1bgmUwxKE7BGM7gyQjoH3YVkDr6RtSE5aJ,0635786508,85-685-0402,Lamap,2024-05-28
Toughjoyfax,active,success,cipsgraved,35-424-2667,tz1XUodLcoJCDuV6rnM153pjd3gNS8Q98V8m,tz1SALye84a6i9MGDA7XS8VF4qJbWweAH86T,8090224059,44-558-4126,Cloudbreak Village,2024-04-29
Bitchip,inactive,failure,gdemeise,84-367-0810,tz1cSfrv7Fckno2SMzki3QVxVjkMpBSJ7gS6,tz1ZDkLZE46hDcCMGYSHS1HzR6HtfrQDyrpS,4733209045,86-445-9698,Fundación,2024-07-12
Bytecard,inactive,failure,sscoylesf,63-263-4848,tz1ZAPvAwZzmbjf8TGg1a6EcPT1z6RZD5K6z,tz1f9v3ySrYe5wvFVqaFUSaiAQGzY51R8E9E,9529963211,59-546-0899,Marmul,2024-09-17
Regrant,active,success,rwhaymang,56-798-9960,tz1NDnXEuBBs1BCtnhwdDxG6X73K8oRwp1Dq,tz1VNehAZNDy1Y2QSZoDcyARysu9ogNXS5HA,7000929340,77-053-8404,Ancud,2024-08-26
Fintone,inactive,success,mskittrealh,21-706-5190,tz1M72J153h2NZzJvD3nrCXx49qtg7GyhqqT,tz1h7sb8FywGM6jduknYYY5ngit6RRbkBFu9,8743903932,41-638-6836,Osh,2024-09-01
Gembucket,active,failure,eweakleyi,61-595-4258,tz1VXMLtmpRG9HuqKuy5CDxoXG7x4asar9pP,tz1eMqW8x7jQrPMjYcPv5VdzgrDCTy92oLEB,9099665903,70-879-1013,Frankfurt am Main,2024-11-04
Cardguard,inactive,failure,fmalebyj,41-805-7014,tz1icuw4J39B6TYxP7U8o92LxWiMCKK3UKtd,tz1MHDdLnB6TmLDUqagQwUDW4prbnCG1YHNG,6370986828,74-717-3725,San Antonio,2023-12-28
Bytecard,active,success,ccatanheirak,88-719-2423,tz1KiSyC3E6Sw3LfSc3m3EpVAgdt1QVZhawP,tz1ewtWdpZfcxKRJV273HZ9XL4ke9cqPUmwp,1962378292,85-314-5865,Ponta Delgada,2024-04-21
Stringtough,active,success,chumphrisl,84-121-6046,tz1fmPqMPBhNyHDCtynHjxsYcAoBTT2LfK58,tz1SW4z55d665u93bNszvy1QKDeXk7yW5Wos,3310518140,00-012-6253,Pascagoula,2024-03-27
Lotlux,active,failure,gweagenerm,53-900-9324,tz1NPWimvA9DA7oqzRG2WonEQmJ4sBMwXhXi,tz1P9NqTQkepBR7hKLEVxfJZfYQTs1Pj7tfc,3951689668,63-725-1045,,2024-02-26
Alpha,active,failure,batchlyn,05-122-0630,tz1axPkjqddjYfxzm7q4cQujef5QjFwXywyJ,tz1SgQq3CVDcvVF3n6WvvLhuu9HXe4WeyrRU,9512317966,10-411-3071,Nanded,2024-10-08
Duobam,inactive,failure,lwoolastono,76-135-0628,tz1Wx5hA4r8krZiY2cEbH4tNSGNBfLd83uiN,tz1cJcoVHjKiXVLmoJhfZhVoHutmrR1EvF7B,4197498985,49-296-3210,Sidi Bel Abbès,2024-04-01
Mat Lam Tam,inactive,failure,pchazottep,55-132-4823,tz1UD9Yx969C7L9Ai9Eah6MSpoLaN16aujGY,tz1hTNkyK3QJRgPxFsG92V5z6Gue1sxDprBa,7095783640,22-856-0974,Shetland Islands,2024-01-24
Fixflex,active,failure,abetteq,86-104-5903,tz1SjHdefAMWWnUzCuCL2Chvcgrw21w8qDnF,tz1Ku8MhSQoUq4abNLFD4KnBMKEJMAvH1Fkk,5446720075,64-192-6322,Geraldton,2024-06-08
Biodex,inactive,success,mlelievrer,47-842-7338,tz1huKaKbLcq2uDYsPdDCAMitkq4xbt6np7u,tz1NbnmcLynZ6dbz6pTcVWyLB6ZuEwsLkXRp,7236057037,25-898-8323,Kamberatoro Mission,2024-05-31
Bigtax,inactive,success,pjannaschs,40-301-7083,tz1bG8yznca33TKHTjq4rtkmMhRtMafyBDG4,tz1Zt343gidDC4GKc67Vxk32iFUdZabDoeqP,7447313823,48-918-1886,Belluno (BL),2024-04-27
Vagram,active,success,rplowst,02-808-0190,tz1UgKzFoaf2niMdXWkQKNnzZ369BZeccET6,tz1di1mLN7RvQzu1uz9J6MinXrUDtdnyYHmJ,7785842647,47-370-5295,Ocean Falls,2024-06-05
Quo Lux,inactive,success,gdyteru,76-188-1868,tz1VmxxzV26ET7f6WH98G8fi5e7cqtUELGuj,tz1SqNb4Pzn6ccLX5D6Hp7gbL4DiFMLZyH4F,0767276744,08-044-5742,Alroy Downs,2024-04-24
Y-find,inactive,failure,fcraciev,76-953-5489,tz1QrkQkLFVtNywE4TA8gPn65WHKR1JcHPgE,tz1hdQyzmBkAzebKeMAGqLkceo5Rs3vwPPfC,5580921144,57-538-5829,Rijeka,2023-12-29
Toughjoyfax,active,success,amessamw,56-474-1915,tz1fQWpFcFt3naVJTUgGXbs1GDLvvThkthvd,tz1asPArKpk3JRif9uXP8KDqmpk6FNh73aMH,9983529963,91-160-9623,Satar Tacik-Flores Island,2024-02-05
Toughjoyfax,inactive,success,nscownx,80-122-6642,tz1TnLwPjXPBy56KKbZ95FzNXPJrb7yRaJ3q,tz1bwoghiQCVvPS7zRujakaK9jBBnuYEAmrg,9020498894,44-008-4054,Varandey,2024-02-03
Cardify,inactive,failure,fthowlessy,08-915-9039,tz1aXYQwm3iBPtcGNpj3r6rbx3iirPybU3y4,tz1a7v2s39iUpGx4gY2YRnPVw3c2KFuJNVdD,5261474272,30-822-7538,Rio Grande,2024-05-24
Fixflex,active,failure,rpurchesz,34-850-5625,tz1N8unopwE1LhVeUwgZySpyk1AY7xGKZgtH,tz1e9ufp76WQHaoC1c6diKbtoLP2xTFS5e2F,5019598712,05-978-5748,Cape Rodney,2024-03-19
Vagram,active,success,escammonden10,17-683-9024,tz1Tt58Wv9MAHVoFqPG2dnTNNDMVGkr1utdb,tz1XKYarJpbkxqDaSjs2txzn6LgZQjZe36wy,2398285898,22-656-6502,Marana,2024-02-12
Y-Solowarm,inactive,success,fvoelker11,10-009-3889,tz1LkGDNCb6XaHt2GGcWsAJrLTAjxXqunzWv,tz1iCNbCBC9CUTtFHrrrjhjYsCRJ5kUtRmeb,9692341283,28-238-4275,,2024-02-21
Biodex,inactive,success,twhyborne12,45-958-5134,tz1T54Hk7gsaJZ2c8t7wwVVdSmVyG9724Xsr,tz1LtKmU8qRVy3BkjT7LUcnhWoLn9RAqv3JZ,3325477569,94-168-3598,Kenosha,2024-08-12
Alphazap,active,failure,ldodman13,03-517-1576,tz1Xg429YmP5pVnZ1Vq8tLHBmUN3e4JkpLUn,tz1WXZpTyJ1PZCb8MP3r1da5AFhw8844ypv4,0158533550,58-378-5997,Saint Louis,2024-02-06
Temp,inactive,failure,oranstead14,92-461-6038,tz1TN7eMCoTyDTtKxYTLi1LpyQRvP7mf5RWc,tz1QXqjywyQQKbmVdXFJNfEKdX5RYpVRKvUT,7733317231,32-357-1837,Casuarito,2024-05-29
Zamit,inactive,failure,bfencott15,15-100-7672,tz1bCwWYGztwjXGVbd3fwYN3zS6SMth3WP24,tz1TSj7mfCgDFXkrWbbP9gaGashyBh6FHukH,4742604784,00-649-2438,Maceió,2024-01-09
Quo Lux,active,failure,tannets16,86-869-7036,tz1bPb3c3JoqCkx5FKWaf5nuoGzXgUUKe2Rr,tz1cDypo93D9B3dVgJybJZcfGBQLr93LEL33,8117784009,07-078-5834,Erdenet,2024-04-15
Flowdesk,active,failure,escadding17,36-324-4131,tz1N119d2JWoAECVhJvRCfpvEGPUiS1ybekG,tz1VkpLVoBrywLgv8WrMPG1oAqinbViurEhQ,0773614850,35-611-7356,Hamburg,2024-10-10
Flowdesk,active,failure,rgrebbin18,23-150-7046,tz1hGRY12L2EmLh2Z57jgA7A7YbNjqhkxSqA,tz1Xibxd7MjmiTSe14takgzQPYZ5xvBJCBzu,7626595734,42-334-6439,,2024-02-14
Holdlamis,active,success,fkopfen19,03-028-4534,tz1hJAV8vQjkCPpbsMZwEy8zjhKPtowwveYP,tz1cbeFdvi7i38n8M9zkDcvxfP8AhX7J2Z9K,0581521013,28-146-3534,Altoona,2024-09-02
Domainer,active,failure,rmcnern1a,19-835-2678,tz1gGuBV1yXxtDW5ufjzmk2pWsdhf5qVCLw1,tz1XQeRD2sCSozTRz1PXJ8L4u6HwQZkUBbSd,6206936422,18-581-9189,Ust Kamenogorsk,2024-03-07
Latlux,inactive,success,bstollman1b,72-613-6740,tz1UkbbqYmFLQPSgh2JkjJ4rXc9zkrfwegxW,tz1aLBTExBufSRrhvaPCSPKANyH7CnEwJpKz,7232882548,03-694-8969,Ceuta,2024-05-08
Asoka,active,failure,wlindborg1c,47-626-8755,tz1RevxHzcAM8o3uRt4iBYJ5cn5n7nQ68skn,tz1LhPyazRHo8gGHk7R3o5hPRLc282iwuDPA,1873791518,64-885-6464,Coondewanna,2024-01-26
Andalax,inactive,success,tbicksteth1d,92-298-2429,tz1gGQpaYQAeRbqdmiNchjTwigN7BQNgzAL1,tz1fqMut93eyjyiZQEfZC5roR7FYzMgRK9fb,3712786247,24-549-6554,3 Marias,2024-05-23
Tin,active,success,tcoan1e,88-955-5751,tz1Wo6xRwzvHDzqeBTGCGCzj7mn4FJbB1HKs,tz1SxaEmSnkp1kKyKTqn561EuL1AcTATBKZG,4925636359,44-189-4261,Cross Lake,2024-01-08
Flexidy,active,success,hhumberston1f,29-980-5877,tz1Zt7R2xEGrpyv7evm8DY5MzmZdwZPJaa4d,tz1MEUYL58h6Fybn8fhZk3HGV2Fu5oiHRQWR,1563684225,28-125-2197,Baghdad,2024-06-28
Cookley,inactive,failure,bgoundrill1g,43-050-4836,tz1VQPn7C9HzkAymBcE5TZiKw9io6E2JBH4R,tz1Y8c67UVJfXvUVxwzJAGfkWfn4xCszdnnb,1646975693,10-259-9015,São Paulo De Olivença,2023-11-29
Bitwolf,active,success,hhodgins1h,80-855-9323,tz1Kw4RQ6HR5D3o84vJtDRzmAuB3Xz1dbkSd,tz1iXtDv7pn12iiR9ayYzNn8qkqde3XRd9TM,0357412982,46-713-5729,Skiathos,2024-02-14
Lotstring,active,success,gmarrian1i,99-677-0921,tz1aVKJ1zLwEnJAuAo44EQt3pZ2RGsnJUtaF,tz1ePkquFGrQfbfhdzf5hzwbAWrtDXfK7Pnf,1979597421,57-205-1528,Harper,2024-03-31
Mat Lam Tam,inactive,success,idyerson1j,65-873-2897,tz1ZMtN3CvgNCxNbgsBBE2oux6hRFbbkS97g,tz1YrSEbc4vtE7TAMtQZtbWk5SjYivJKAQM4,7735858981,07-000-7051,Lumbo,2024-06-01
Bitwolf,active,failure,lpenning1k,59-727-4600,tz1SgmV3LbFa9uPKAGqUU1ELzhDpk9mpM6DW,tz1Ww9yoyZEBFcfHoytkZ96Bt4mCRR3nZVkp,4367223272,82-134-1412,,2024-08-26
Hatity,active,failure,yescot1l,14-590-0203,tz1VdPHLSnQAu1qhUHtNH5impDvJ8gdxJoGq,tz1bL1rLQgRJPZMPhqW33wpM11zVevCr5f1D,0003079775,05-391-3042,Batangafo,2024-08-10
Zamit,active,failure,sseczyk1m,85-612-2794,tz1dsCW8K5jK3xo1LoR8wK5ByMsDUywiw8eM,tz1MdPRoqqBGTnzRZ1bhU5WPDpvt1Kmei5vC,0102652228,19-431-2300,Malolo Lailai Island,2024-10-23
Job,inactive,failure,rburnhard1n,23-892-8742,tz1ZJKT6e1HgR3k5x6EzLbM9rzcovHEd1pNa,tz1PUg3PxpaSLH6G6FPzNeWwHfpbBJTekpyV,9445714989,44-565-6755,Palmarito,2024-08-07
Bamity,active,success,oredpath1o,66-093-1358,tz1gM4mF39kCBFg3kXJvx7uf2vyqJVSXSJ1s,tz1QazEHx7MgwXe7Yfk2e28GBd6xZDZvMYny,3209242976,63-684-5767,Lissadell Station,2024-03-25
Tampflex,active,success,jjeste1p,85-660-6364,tz1dtxCxP8kbuXCxHx96FpdEMZMPSexhBDCg,tz1XMrQcdYmaBXScaXjGbitfVCYiH9rT78uC,2896309225,67-625-5536,Hopedale,2024-06-04
Home Ing,active,failure,zbarr1q,18-743-9210,tz1LcvwWZQAKBrCkhNrRTQa72qR1yGvsKFhW,tz1TXbNs5rEiraN3QEHtCLdwUN4s9iUqiWWg,7100698790,23-728-2493,Al Ain,2023-11-26
Biodex,active,failure,dpadbury1r,63-515-5395,tz1MrabDH4Nmu58e8BuWYZSgPXMC6yQyDvyx,tz1heMZjXAci889DMnULUt85A336k9RHmG8F,2750492610,33-770-0022,Morganton,2024-05-28
Bigtax,inactive,failure,leubank1s,67-663-4465,tz1hzoPnL7U5qJDFYisfzEDAn7CaX3ZrfYok,tz1TPn5w61zhZBXRg3yovdo6ee8XF5gff9Ec,7705964031,31-746-2234,Kabri Dehar,2024-01-26
Y-Solowarm,inactive,success,bnisbet1t,11-293-0500,tz1Y88gHiPh5vpsDMEYBR8t3rMEYjTW1QcgQ,tz1ijRJruD2JpEhBR5t76BcY7TRYX32b8g8a,0902917366,72-116-3521,Kimaam,2024-08-17
Cookley,inactive,success,kguerrazzi1u,56-907-9131,tz1geMJqD6Lvai2Bp1uEg5aV5CooTHcymFhp,tz1TEhfAeCZ4TRTsyCvhUjhFX3mek6riGAVJ,2713919819,67-109-5103,Tokoroa,2024-01-15
Sonair,active,success,rpeckett1v,92-044-5990,tz1NjVv9yVfhrapLnBi6Ap2N4azSY2jAjhrA,tz1NfYqD94dPvNHJXuqqMEfPauY1Rs2FekTE,2012652956,46-229-2902,Taichung City,2024-07-04
Vagram,active,success,rlyfe1w,36-923-3286,tz1L6tAxZrRefktZnioAbQEoUVWhG7YJRdVJ,tz1KgFmZooTsQmHRC1zm9v3YKZPti7h5UHaK,7442253245,70-447-4931,Ulanqab,2024-05-16
Hatity,inactive,success,imosedall1x,00-166-9977,tz1fgEcCfK4huZJVL3U2RB9VduWvtfUwmp7Y,tz1U3h1biUiSAX23rR7ysPyDqpCFj98n5qin,9131765785,68-538-2161,Yiwu,2024-01-02
Biodex,active,failure,cdumblton1y,44-316-3432,tz1hffwV59PZtfBWHF7P8Fd7PZEHzeGPY7xv,tz1ZfdV2GVgs81RLV9YvbK8q4b6bbQRU1YH4,4608938274,25-162-4059,Lábrea,2024-10-24
Temp,active,failure,lzecchinelli1z,09-095-0814,tz1R5mqbHD7Bb6nMUCdCM7kKVwp42G4hCzHW,tz1Uojnwph35KFLkGUDwjP2zV3wikJ6BpXk3,0181878461,36-594-9170,Amol,2023-12-05
Zathin,active,failure,jlock20,81-384-0659,tz1R3xVWFX6rCcTMmGnX3vGB3fMMnsr3GqEb,tz1QJcCM44c7Wo9Gy1B7WCsHRyWwbsykqPFU,9761389642,96-259-4892,Araxá,2024-04-20
Ventosanzap,active,failure,lhedges21,78-844-1734,tz1e1pXRxuJWTqwczsqCGK7PoGzBQ4rnh6pR,tz1ZoKwsp7DndFDgz3FzP2RTjF5u8dRoENYC,9110631909,04-335-4668,Handan,2024-04-30
